Frequency,kH,RR(mm/h),aH,A(dB/km),Frequency,kV,RR(mm/h),aV,A(db/km),,INPUT,,,,OUTPUT
77.00,1.1320,50.0000,0.7177,18.7585,77.0000,1.1276,50.0000,0.7073,17.9406,,,,,,
78.00,1.1451,50.0000,0.7156,18.8203,78.0000,1.1410,50.0000,0.7055,18.0264,,,,,,
79.00,1.1579,50.0000,0.7135,18.8750,79.0000,1.1541,50.0000,0.7038,18.1125,,,,,,
80.00,1.1704,50.0000,0.7115,18.9300,80.0000,1.1668,50.0000,0.7021,18.1904,,,,,,
81.00,1.1827,50.0000,0.7096,18.9873,81.0000,1.1793,50.0000,0.7004,18.2635,,,,,,
82.00,1.1946,50.0000,0.7077,19.0363,82.0000,1.1915,50.0000,0.6988,18.3373,,,,,,
83.00,1.2063,50.0000,0.7058,19.0804,83.0000,1.2034,50.0000,0.6973,18.4120,,,,,,
84.00,1.2177,50.0000,0.7040,19.1256,84.0000,1.2151,50.0000,0.6958,18.4823,,,,,,
85.00,1.2289,50.0000,0.7023,19.1736,85.0000,1.2265,50.0000,0.6943,18.5465,,,,,,
86.00,1.2398,50.0000,0.7006,19.2154,86.0000,1.2376,50.0000,0.6929,18.6122,,,,,,
87.00,1.2504,50.0000,0.6990,19.2588,87.0000,1.2484,50.0000,0.6915,18.6720,,,,,,
88.00,1.2607,50.0000,0.6974,19.2963,88.0000,1.2590,50.0000,0.6902,18.7350,,,,,,
89.00,1.2708,50.0000,0.6959,19.3371,89.0000,1.2694,50.0000,0.6889,18.7940,,,,,,
90.00,1.2807,50.0000,0.6944,19.3737,90.0000,1.2795,50.0000,0.6876,18.8474,,,,,,
91.00,1.2903,50.0000,0.6929,19.4047,91.0000,1.2893,50.0000,0.6864,18.9028,,,,,,
92.00,1.2997,50.0000,0.6915,19.4393,92.0000,1.2989,50.0000,0.6852,18.9544,,,,,,
93.00,1.3089,50.0000,0.6901,19.4700,93.0000,1.3083,50.0000,0.6840,19.0022,,,,,,
94.00,1.3179,50.0000,0.6888,19.5044,94.0000,1.3175,50.0000,0.6828,19.0462,,,,,,
95.00,1.3266,50.0000,0.6875,19.5336,95.0000,1.3265,50.0000,0.6817,19.0939,,,,,,
96.00,1.3351,50.0000,0.6862,19.5590,96.0000,1.3352,50.0000,0.6806,19.1366,,,,,,
97.00,1.3434,50.0000,0.6850,19.5884,97.0000,1.3437,50.0000,0.6796,19.1833,,,,,,
98.00,1.3515,50.0000,0.6838,19.6143,98.0000,1.3520,50.0000,0.6785,19.2189,,,,,,
99.00,1.3594,50.0000,0.6826,19.6365,99.0000,1.3601,50.0000,0.6775,19.2585,,,,,,
100.00,1.3671,50.0000,0.6815,19.6629,100.0000,1.3680,50.0000,0.6765,19.2948,,,,,,
10.00,0.0122,100.0000,1.2571,3.9764,10.0000,0.0113,100.0000,1.2156,3.0472,,,,,,
11.00,0.0177,100.0000,1.2140,4.7475,11.0000,0.0173,100.0000,1.1617,3.6450,,,,,,
12.00,0.0239,100.0000,1.1825,5.5293,12.0000,0.0246,100.0000,1.1216,4.2979,,,,,,
13.00,0.0304,100.0000,1.1586,6.3127,13.0000,0.0327,100.0000,1.0901,4.9456,,,,,,
14.00,0.0374,100.0000,1.1396,7.1095,14.0000,0.0413,100.0000,1.0646,5.5556,,,,,,
15.00,0.0448,100.0000,1.1233,7.9063,15.0000,0.0501,100.0000,1.0440,6.1329,,,,,,
16.00,0.0528,100.0000,1.1086,8.7096,16.0000,0.0590,100.0000,1.0273,6.6893,,,,,,
17.00,0.0615,100.0000,1.0949,9.5146,17.0000,0.0680,100.0000,1.0137,7.2396,,,,,,
18.00,0.0708,100.0000,1.0818,10.3160,18.0000,0.0771,100.0000,1.0025,7.7973,,,,,,
19.00,0.0808,100.0000,1.0691,11.1129,19.0000,0.0864,100.0000,0.9930,8.3679,,,,,,
20.00,0.0916,100.0000,1.0568,11.9038,20.0000,0.0961,100.0000,0.9847,8.9571,,,,,,
21.00,0.1032,100.0000,1.0447,12.6788,21.0000,0.1063,100.0000,0.9771,9.5661,,,,,,
22.00,0.1155,100.0000,1.0329,13.4395,22.0000,0.1170,100.0000,0.9700,10.1903,,,,,,
23.00,0.1286,100.0000,1.0214,14.1919,23.0000,0.1284,100.0000,0.9630,10.8284,,,,,,
24.00,0.1425,100.0000,1.0101,14.9285,24.0000,0.1404,100.0000,0.9561,11.4701,,,,,,
25.00,0.1571,100.0000,0.9991,15.6450,25.0000,0.1533,100.0000,0.9491,12.1267,,,,,,
26.00,0.1724,100.0000,0.9884,16.3432,26.0000,0.1669,100.0000,0.9421,12.7837,,,,,,
27.00,0.1884,100.0000,0.9780,17.0248,27.0000,0.1813,100.0000,0.9349,13.4338,,,,,,
28.00,0.2051,100.0000,0.9679,17.6915,28.0000,0.1964,100.0000,0.9277,14.0780,,,,,,
29.00,0.2224,100.0000,0.9580,18.3288,29.0000,0.2124,100.0000,0.9203,14.7148,,,,,,
30.00,0.2403,100.0000,0.9485,18.9563,30.0000,0.2291,100.0000,0.9129,15.3400,,,,,,
31.00,0.2588,100.0000,0.9392,19.5598,31.0000,0.2465,100.0000,0.9055,15.9521,,,,,,
32.00,0.2778,100.0000,0.9302,20.1434,32.0000,0.2646,100.0000,0.8981,16.5497,,,,,,
33.00,0.2972,100.0000,0.9214,20.6942,33.0000,0.2833,100.0000,0.8907,17.1256,,,,,,
34.00,0.3171,100.0000,0.9129,21.2323,34.0000,0.3026,100.0000,0.8834,17.6876,,,,,,
35.00,0.3374,100.0000,0.9047,21.7543,35.0000,0.3224,100.0000,0.8761,18.2220,,,,,,
36.00,0.3580,100.0000,0.8967,22.2476,36.0000,0.3427,100.0000,0.8690,18.7462,,,,,,
37.00,0.3789,100.0000,0.8890,22.7261,37.0000,0.3633,100.0000,0.8621,19.2515,,,,,,
38.00,0.4001,100.0000,0.8816,23.1936,38.0000,0.3844,100.0000,0.8552,19.7326,,,,,,
39.00,0.4215,100.0000,0.8743,23.6264,39.0000,0.4058,100.0000,0.8486,20.2075,,,,,,
40.00,0.4431,100.0000,0.8673,24.0493,40.0000,0.4274,100.0000,0.8421,20.6554,,,,,,
41.00,0.4647,100.0000,0.8605,24.4440,41.0000,0.4492,100.0000,0.8357,21.0785,,,,,,
42.00,0.4865,100.0000,0.8539,24.8246,42.0000,0.4712,100.0000,0.8296,21.4984,,,,,,
43.00,0.5084,100.0000,0.8476,25.2003,43.0000,0.4932,100.0000,0.8236,21.8889,,,,,,
44.00,0.5302,100.0000,0.8414,25.5411,44.0000,0.5153,100.0000,0.8179,22.2772,,,,,,
45.00,0.5521,100.0000,0.8355,25.8832,45.0000,0.5375,100.0000,0.8123,22.6453,,,,,,
46.00,0.5738,100.0000,0.8297,26.1915,46.0000,0.5596,100.0000,0.8069,22.9973,,,,,,
47.00,0.5956,100.0000,0.8241,26.4944,47.0000,0.5817,100.0000,0.8017,23.3399,,,,,,
48.00,0.6172,100.0000,0.8187,26.7809,48.0000,0.6037,100.0000,0.7967,23.6712,,,,,,
49.00,0.6386,100.0000,0.8134,27.0414,49.0000,0.6255,100.0000,0.7918,23.9788,,,,,,
50.00,0.6600,100.0000,0.8084,27.3114,50.0000,0.6472,100.0000,0.7871,24.2794,,,,,,
51.00,0.6811,100.0000,0.8034,27.5430,51.0000,0.6687,100.0000,0.7826,24.5715,,,,,,
52.00,0.7020,100.0000,0.7987,27.7803,52.0000,0.6901,100.0000,0.7783,24.8606,,,,,,
53.00,0.7228,100.0000,0.7941,28.0039,53.0000,0.7112,100.0000,0.7741,25.1300,,,,,,
54.00,0.7433,100.0000,0.7896,28.2075,54.0000,0.7321,100.0000,0.7700,25.3846,,,,,,
55.00,0.7635,100.0000,0.7853,28.4059,55.0000,0.7527,100.0000,0.7661,25.6343,,,,,,
56.00,0.7835,100.0000,0.7811,28.5916,56.0000,0.7730,100.0000,0.7623,25.8690,,,,,,
57.00,0.8032,100.0000,0.7771,28.7756,57.0000,0.7931,100.0000,0.7587,26.1053,,,,,,
58.00,0.8226,100.0000,0.7731,28.9327,58.0000,0.8129,100.0000,0.7552,26.3292,,,,,,
59.00,0.8418,100.0000,0.7693,29.0944,59.0000,0.8324,100.0000,0.7518,26.5419,,,,,,
60.00,0.8606,100.0000,0.7656,29.2416,60.0000,0.8515,100.0000,0.7486,26.7537,,,,,,
61.00,0.8791,100.0000,0.7621,29.3926,61.0000,0.8704,100.0000,0.7454,26.9475,,,,,,
62.00,0.8974,100.0000,0.7586,29.5247,62.0000,0.8889,100.0000,0.7424,27.1427,,,,,,
63.00,0.9153,100.0000,0.7552,29.6458,63.0000,0.9071,100.0000,0.7395,27.3310,,,,,,
64.00,0.9328,100.0000,0.7520,29.7707,64.0000,0.9250,100.0000,0.7366,27.5006,,,,,,
65.00,0.9501,100.0000,0.7488,29.8792,65.0000,0.9425,100.0000,0.7339,27.6746,,,,,,
66.00,0.9670,100.0000,0.7458,29.9935,66.0000,0.9598,100.0000,0.7313,27.8471,,,,,,
67.00,0.9836,100.0000,0.7428,30.0897,67.0000,0.9767,100.0000,0.7287,28.0002,,,,,,
68.00,0.9999,100.0000,0.7400,30.1965,68.0000,0.9932,100.0000,0.7262,28.1473,,,,,,
69.00,1.0159,100.0000,0.7372,30.2866,69.0000,1.0094,100.0000,0.7238,28.2920,,,,,,
70.00,1.0315,100.0000,0.7345,30.3717,70.0000,1.0253,100.0000,0.7215,28.4349,,,,,,
71.00,1.0468,100.0000,0.7318,30.4413,71.0000,1.0409,100.0000,0.7193,28.5765,,,,,,
72.00,1.0618,100.0000,0.7293,30.5241,72.0000,1.0561,100.0000,0.7171,28.7015,,,,,,
73.00,1.0764,100.0000,0.7268,30.5896,73.0000,1.0711,100.0000,0.7150,28.8290,,,,,,
74.00,1.0908,100.0000,0.7244,30.6581,74.0000,1.0857,100.0000,0.7130,28.9541,,,,,,
75.00,1.1048,100.0000,0.7221,30.7244,75.0000,1.1000,100.0000,0.7110,29.0665,,,,,,
76.00,1.1185,100.0000,0.7199,30.7919,76.0000,1.1139,100.0000,0.7091,29.1774,,,,,,
77.00,1.1320,100.0000,0.7177,30.8494,77.0000,1.1276,100.0000,0.7073,29.2924,,,,,,
78.00,1.1451,100.0000,0.7156,30.9060,78.0000,1.1410,100.0000,0.7055,29.3958,,,,,,
79.00,1.1579,100.0000,0.7135,30.9507,79.0000,1.1541,100.0000,0.7038,29.5015,,,,,,
80.00,1.1704,100.0000,0.7115,30.9980,80.0000,1.1668,100.0000,0.7021,29.5935,,,,,,
81.00,1.1827,100.0000,0.7096,31.0509,81.0000,1.1793,100.0000,0.7004,29.6773,,,,,,
82.00,1.1946,100.0000,0.7077,31.0901,82.0000,1.1915,100.0000,0.6988,29.7642,,,,,,
83.00,1.2063,100.0000,0.7058,31.1211,83.0000,1.2034,100.0000,0.6973,29.8545,,,,,,
84.00,1.2177,100.0000,0.7040,31.1559,84.0000,1.2151,100.0000,0.6958,29.9373,,,,,,
85.00,1.2289,100.0000,0.7023,31.1973,85.0000,1.2265,100.0000,0.6943,30.0101,,,,,,
86.00,1.2398,100.0000,0.7006,31.2285,86.0000,1.2376,100.0000,0.6929,30.0871,,,,,,
87.00,1.2504,100.0000,0.6990,31.2643,87.0000,1.2484,100.0000,0.6915,30.1546,,,,,,
88.00,1.2607,100.0000,0.6974,31.2904,88.0000,1.2590,100.0000,0.6902,30.2291,,,,,,
89.00,1.2708,100.0000,0.6959,31.3240,89.0000,1.2694,100.0000,0.6889,30.2969,,,,,,
90.00,1.2807,100.0000,0.6944,31.3507,90.0000,1.2795,100.0000,0.6876,30.3557,,,,,,
91.00,1.2903,100.0000,0.6929,31.3683,91.0000,1.2893,100.0000,0.6864,30.4196,,,,,,
92.00,1.2997,100.0000,0.6915,31.3937,92.0000,1.2989,100.0000,0.6852,30.4772,,,,,,
93.00,1.3089,100.0000,0.6901,31.4128,93.0000,1.3083,100.0000,0.6840,30.5286,,,,,,
94.00,1.3179,100.0000,0.6888,31.4400,94.0000,1.3175,100.0000,0.6828,30.5739,,,,,,
95.00,1.3266,100.0000,0.6875,31.4586,95.0000,1.3265,100.0000,0.6817,30.6272,,,,,,
96.00,1.3351,100.0000,0.6862,31.4712,96.0000,1.3352,100.0000,0.6806,30.6723,,,,,,
97.00,1.3434,100.0000,0.6850,31.4924,97.0000,1.3437,100.0000,0.6796,30.7257,,,,,,
98.00,1.3515,100.0000,0.6838,31.5077,98.0000,1.3520,100.0000,0.6785,30.7593,,,,,,
99.00,1.3594,100.0000,0.6826,31.5172,99.0000,1.3601,100.0000,0.6775,30.8014,,,,,,
100.00,1.3671,100.0000,0.6815,31.5355,100.0000,1.3680,100.0000,0.6765,30.8380,,,,,,
10.00,0.0122,150.0000,1.2571,6.6200,10.0000,0.0113,150.0000,1.2156,4.9883,,,,,,
11.00,0.0177,150.0000,1.2140,7.7667,11.0000,0.0173,150.0000,1.1617,5.8380,,,,,,
12.00,0.0239,150.0000,1.1825,8.9310,12.0000,0.0246,150.0000,1.1216,6.7726,,,,,,
13.00,0.0304,150.0000,1.1586,10.0980,13.0000,0.0327,150.0000,1.0901,7.6944,,,,,,
14.00,0.0374,150.0000,1.1396,11.2853,14.0000,0.0413,150.0000,1.0646,8.5545,,,,,,
15.00,0.0448,150.0000,1.1233,12.4675,15.0000,0.0501,150.0000,1.0440,9.3649,,,,,,
16.00,0.0528,150.0000,1.1086,13.6525,16.0000,0.0590,150.0000,1.0273,10.1456,,,,,,
17.00,0.0615,150.0000,1.0949,14.8318,17.0000,0.0680,150.0000,1.0137,10.9200,,,,,,
18.00,0.0708,150.0000,1.0818,15.9958,18.0000,0.0771,150.0000,1.0025,11.7077,,,,,,
19.00,0.0808,150.0000,1.0691,17.1429,19.0000,0.0864,150.0000,0.9930,12.5162,,,,,,
20.00,0.0916,150.0000,1.0568,18.2717,20.0000,0.0961,150.0000,0.9847,13.3526,,,,,,
21.00,0.1032,150.0000,1.0447,19.3661,21.0000,0.1063,150.0000,0.9771,14.2165,,,,,,
22.00,0.1155,150.0000,1.0329,20.4299,22.0000,0.1170,150.0000,0.9700,15.1006,,,,,,
23.00,0.1286,150.0000,1.0214,21.4734,23.0000,0.1284,150.0000,0.9630,16.0008,,,,,,
24.00,0.1425,150.0000,1.0101,22.4846,24.0000,0.1404,150.0000,0.9561,16.9016,,,,,,
25.00,0.1571,150.0000,0.9991,23.4590,25.0000,0.1533,150.0000,0.9491,17.8185,,,,,,
26.00,0.1724,150.0000,0.9884,24.3998,26.0000,0.1669,150.0000,0.9421,18.7306,,,,,,
27.00,0.1884,150.0000,0.9780,25.3103,27.0000,0.1813,150.0000,0.9349,19.6257,,,,,,
28.00,0.2051,150.0000,0.9679,26.1942,28.0000,0.1964,150.0000,0.9277,20.5070,,,,,,
29.00,0.2224,150.0000,0.9580,27.0290,29.0000,0.2124,150.0000,0.9203,21.3703,,,,,,
30.00,0.2403,150.0000,0.9485,27.8469,30.0000,0.2291,150.0000,0.9129,22.2115,,,,,,
31.00,0.2588,150.0000,0.9392,28.6252,31.0000,0.2465,150.0000,0.9055,23.0286,,,,,,
32.00,0.2778,150.0000,0.9302,29.3719,32.0000,0.2646,150.0000,0.8981,23.8198,,,,,,
33.00,0.2972,150.0000,0.9214,30.0676,33.0000,0.2833,150.0000,0.8907,24.5749,,,,,,
34.00,0.3171,150.0000,0.9129,30.7433,34.0000,0.3026,150.0000,0.8834,25.3063,,,,,,
35.00,0.3374,150.0000,0.9047,31.3946,35.0000,0.3224,150.0000,0.8761,25.9937,,,,,,
36.00,0.3580,150.0000,0.8967,32.0025,36.0000,0.3427,150.0000,0.8690,26.6647,,,,,,
37.00,0.3789,150.0000,0.8890,32.5889,37.0000,0.3633,150.0000,0.8621,27.3070,,,,,,
38.00,0.4001,150.0000,0.8816,33.1597,38.0000,0.3844,150.0000,0.8552,27.9111,,,,,,
39.00,0.4215,150.0000,0.8743,33.6786,39.0000,0.4058,150.0000,0.8486,28.5064,,,,,,
40.00,0.4431,150.0000,0.8673,34.1842,40.0000,0.4274,150.0000,0.8421,29.0617,,,,,,
41.00,0.4647,150.0000,0.8605,34.6497,41.0000,0.4492,150.0000,0.8357,29.5801,,,,,,
42.00,0.4865,150.0000,0.8539,35.0952,42.0000,0.4712,150.0000,0.8296,30.0947,,,,,,
43.00,0.5084,150.0000,0.8476,35.5353,43.0000,0.4932,150.0000,0.8236,30.5669,,,,,,
44.00,0.5302,150.0000,0.8414,35.9255,44.0000,0.5153,150.0000,0.8179,31.0374,,,,,,
45.00,0.5521,150.0000,0.8355,36.3197,45.0000,0.5375,150.0000,0.8123,31.4787,,,,,,
46.00,0.5738,150.0000,0.8297,36.6660,46.0000,0.5596,150.0000,0.8069,31.8982,,,,,,
47.00,0.5956,150.0000,0.8241,37.0059,47.0000,0.5817,150.0000,0.8017,32.3051,,,,,,
48.00,0.6172,150.0000,0.8187,37.3243,48.0000,0.6037,150.0000,0.7967,32.6974,,,,,,
49.00,0.6386,150.0000,0.8134,37.6064,49.0000,0.6255,150.0000,0.7918,33.0565,,,,,,
50.00,0.6600,150.0000,0.8084,37.9050,50.0000,0.6472,150.0000,0.7871,33.4072,,,,,,
51.00,0.6811,150.0000,0.8034,38.1490,51.0000,0.6687,150.0000,0.7826,33.7474,,,,,,
52.00,0.7020,150.0000,0.7987,38.4044,52.0000,0.6901,150.0000,0.7783,34.0850,,,,,,
53.00,0.7228,150.0000,0.7941,38.6413,53.0000,0.7112,150.0000,0.7741,34.3957,,,,,,
54.00,0.7433,150.0000,0.7896,38.8513,54.0000,0.7321,150.0000,0.7700,34.6865,,,,,,
55.00,0.7635,150.0000,0.7853,39.0565,55.0000,0.7527,150.0000,0.7661,34.9724,,,,,,
56.00,0.7835,150.0000,0.7811,39.2450,56.0000,0.7730,150.0000,0.7623,35.2382,,,,,,
57.00,0.8032,150.0000,0.7771,39.4334,57.0000,0.7931,150.0000,0.7587,35.5082,,,,,,
58.00,0.8226,150.0000,0.7731,39.5845,58.0000,0.8129,150.0000,0.7552,35.7620,,,,,,
59.00,0.8418,150.0000,0.7693,39.7444,59.0000,0.8324,150.0000,0.7518,36.0012,,,,,,
60.00,0.8606,150.0000,0.7656,39.8857,60.0000,0.8515,150.0000,0.7486,36.2415,,,,,,
61.00,0.8791,150.0000,0.7621,40.0348,61.0000,0.8704,150.0000,0.7454,36.4567,,,,,,
62.00,0.8974,150.0000,0.7586,40.1577,62.0000,0.8889,150.0000,0.7424,36.6761,,,,,,
63.00,0.9153,150.0000,0.7552,40.2668,63.0000,0.9071,150.0000,0.7395,36.8871,,,,,,
64.00,0.9328,150.0000,0.7520,40.3840,64.0000,0.9250,150.0000,0.7366,37.0724,,,,,,
65.00,0.9501,150.0000,0.7488,40.4787,65.0000,0.9425,150.0000,0.7339,37.2662,,,,,,
66.00,0.9670,150.0000,0.7458,40.5840,66.0000,0.9598,150.0000,0.7313,37.4590,,,,,,
67.00,0.9836,150.0000,0.7428,40.6648,67.0000,0.9767,150.0000,0.7287,37.6252,,,,,,
68.00,0.9999,150.0000,0.7400,40.7628,68.0000,0.9932,150.0000,0.7262,37.7845,,,,,,
69.00,1.0159,150.0000,0.7372,40.8381,69.0000,1.0094,150.0000,0.7238,37.9418,,,,,,
70.00,1.0315,150.0000,0.7345,40.9080,70.0000,1.0253,150.0000,0.7215,38.0979,,,,,,
71.00,1.0468,150.0000,0.7318,40.9569,71.0000,1.0409,150.0000,0.7193,38.2535,,,,,,
72.00,1.0618,150.0000,0.7293,41.0267,72.0000,1.0561,150.0000,0.7171,38.3866,,,,,,
73.00,1.0764,150.0000,0.7268,41.0730,73.0000,1.0711,150.0000,0.7150,38.5243,,,,,,
74.00,1.0908,150.0000,0.7244,41.1250,74.0000,1.0857,150.0000,0.7130,38.6601,,,,,,
75.00,1.1048,150.0000,0.7221,41.1755,75.0000,1.1000,150.0000,0.7110,38.7787,,,,,,
76.00,1.1185,150.0000,0.7199,41.2291,76.0000,1.1139,150.0000,0.7091,38.8967,,,,,,
77.00,1.1320,150.0000,0.7177,41.2693,77.0000,1.1276,150.0000,0.7073,39.0215,,,,,,
78.00,1.1451,150.0000,0.7156,41.3099,78.0000,1.1410,150.0000,0.7055,39.1307,,,,,,
79.00,1.1579,150.0000,0.7135,41.3345,79.0000,1.1541,150.0000,0.7038,39.2443,,,,,,
80.00,1.1704,150.0000,0.7115,41.3641,80.0000,1.1668,150.0000,0.7021,39.3396,,,,,,
81.00,1.1827,150.0000,0.7096,41.4027,81.0000,1.1793,150.0000,0.7004,39.4238,,,,,,
82.00,1.1946,150.0000,0.7077,41.4231,82.0000,1.1915,150.0000,0.6988,39.5136,,,,,,
83.00,1.2063,150.0000,0.7058,41.4324,83.0000,1.2034,150.0000,0.6973,39.6094,,,,,,
84.00,1.2177,150.0000,0.7040,41.4485,84.0000,1.2151,150.0000,0.6958,39.6950,,,,,,
85.00,1.2289,150.0000,0.7023,41.4749,85.0000,1.2265,150.0000,0.6943,39.7674,,,,,,
86.00,1.2398,150.0000,0.7006,41.4879,86.0000,1.2376,150.0000,0.6929,39.8468,,,,,,
87.00,1.2504,150.0000,0.6990,41.5085,87.0000,1.2484,150.0000,0.6915,39.9136,,,,,,
88.00,1.2607,150.0000,0.6974,41.5162,88.0000,1.2590,150.0000,0.6902,39.9912,,,,,,
89.00,1.2708,150.0000,0.6959,41.5355,89.0000,1.2694,150.0000,0.6889,40.0597,,,,,,
90.00,1.2807,150.0000,0.6944,41.5456,90.0000,1.2795,150.0000,0.6876,40.1163,,,,,,
91.00,1.2903,150.0000,0.6929,41.5436,91.0000,1.2893,150.0000,0.6864,40.1812,,,,,,
92.00,1.2997,150.0000,0.6915,41.5538,92.0000,1.2989,150.0000,0.6852,40.2377,,,,,,
93.00,1.3089,150.0000,0.6901,41.5554,93.0000,1.3083,150.0000,0.6840,40.2860,,,,,,
94.00,1.3179,150.0000,0.6888,41.5694,94.0000,1.3175,150.0000,0.6828,40.3261,,,,,,
95.00,1.3266,150.0000,0.6875,41.5722,95.0000,1.3265,150.0000,0.6817,40.3784,,,,,,
96.00,1.3351,150.0000,0.6862,41.5669,96.0000,1.3352,150.0000,0.6806,40.4198,,,,,,
97.00,1.3434,150.0000,0.6850,41.5746,97.0000,1.3437,150.0000,0.6796,40.4738,,,,,,
98.00,1.3515,150.0000,0.6838,41.5745,98.0000,1.3520,150.0000,0.6785,40.5000,,,,,,
99.00,1.3594,150.0000,0.6826,41.5669,99.0000,1.3601,150.0000,0.6775,40.5390,,,,,,
100.00,1.3671,150.0000,0.6815,41.5725,100.0000,1.3680,150.0000,0.6765,40.5706,,,,,,
10.00,0.0122,200.0000,1.2571,9.5042,10.0000,0.0113,200.0000,1.2156,7.0766,,,,,,
11.00,0.0177,200.0000,1.2140,11.0132,11.0000,0.0173,200.0000,1.1617,8.1546,,,,,,
12.00,0.0239,200.0000,1.1825,12.5498,12.0000,0.0246,200.0000,1.1216,9.3516,,,,,,
13.00,0.0304,200.0000,1.1586,14.0926,13.0000,0.0327,200.0000,1.0901,10.5286,,,,,,
14.00,0.0374,200.0000,1.1396,15.6637,14.0000,0.0413,200.0000,1.0646,11.6200,,,,,,
15.00,0.0448,200.0000,1.1233,17.2235,15.0000,0.0501,200.0000,1.0440,12.6456,,,,,,
16.00,0.0528,200.0000,1.1086,18.7811,16.0000,0.0590,200.0000,1.0273,13.6341,,,,,,
17.00,0.0615,200.0000,1.0949,20.3231,17.0000,0.0680,200.0000,1.0137,14.6174,,,,,,
18.00,0.0708,200.0000,1.0818,21.8356,18.0000,0.0771,200.0000,1.0025,15.6216,,,,,,
19.00,0.0808,200.0000,1.0691,23.3162,19.0000,0.0864,200.0000,0.9930,16.6547,,,,,,
20.00,0.0916,200.0000,1.0568,24.7636,20.0000,0.0961,200.0000,0.9847,17.7253,,,,,,
21.00,0.1032,200.0000,1.0447,26.1557,21.0000,0.1063,200.0000,0.9771,18.8308,,,,,,
22.00,0.1155,200.0000,1.0329,27.4989,22.0000,0.1170,200.0000,0.9700,19.9611,,,,,,
23.00,0.1286,200.0000,1.0214,28.8080,23.0000,0.1284,200.0000,0.9630,21.1085,,,,,,
24.00,0.1425,200.0000,1.0101,30.0667,24.0000,0.1404,200.0000,0.9561,22.2527,,,,,,
25.00,0.1571,200.0000,0.9991,31.2705,25.0000,0.1533,200.0000,0.9491,23.4126,,,,,,
26.00,0.1724,200.0000,0.9884,32.4247,26.0000,0.1669,200.0000,0.9421,24.5616,,,,,,
27.00,0.1884,200.0000,0.9780,33.5342,27.0000,0.1813,200.0000,0.9349,25.6821,,,,,,
28.00,0.2051,200.0000,0.9679,34.6045,28.0000,0.1964,200.0000,0.9277,26.7798,,,,,,
29.00,0.2224,200.0000,0.9580,35.6059,29.0000,0.2124,200.0000,0.9203,27.8479,,,,,,
30.00,0.2403,200.0000,0.9485,36.5831,30.0000,0.2291,200.0000,0.9129,28.8825,,,,,,
31.00,0.2588,200.0000,0.9392,37.5052,31.0000,0.2465,200.0000,0.9055,29.8813,,,,,,
32.00,0.2778,200.0000,0.9302,38.3840,32.0000,0.2646,200.0000,0.8981,30.8422,,,,,,
33.00,0.2972,200.0000,0.9214,39.1938,33.0000,0.2833,200.0000,0.8907,31.7522,,,,,,
34.00,0.3171,200.0000,0.9129,39.9767,34.0000,0.3026,200.0000,0.8834,32.6286,,,,,,
35.00,0.3374,200.0000,0.9047,40.7274,35.0000,0.3224,200.0000,0.8761,33.4447,,,,,,
36.00,0.3580,200.0000,0.8967,41.4206,36.0000,0.3427,200.0000,0.8690,34.2381,,,,,,
37.00,0.3789,200.0000,0.8890,42.0863,37.0000,0.3633,200.0000,0.8621,34.9932,,,,,,
38.00,0.4001,200.0000,0.8816,42.7323,38.0000,0.3844,200.0000,0.8552,35.6964,,,,,,
39.00,0.4215,200.0000,0.8743,43.3100,39.0000,0.4058,200.0000,0.8486,36.3887,,,,,,
40.00,0.4431,200.0000,0.8673,43.8718,40.0000,0.4274,200.0000,0.8421,37.0281,,,,,,
41.00,0.4647,200.0000,0.8605,44.3822,41.0000,0.4492,200.0000,0.8357,37.6193,,,,,,
42.00,0.4865,200.0000,0.8539,44.8676,42.0000,0.4712,200.0000,0.8296,38.2067,,,,,,
43.00,0.5084,200.0000,0.8476,45.3480,43.0000,0.4932,200.0000,0.8236,38.7393,,,,,,
44.00,0.5302,200.0000,0.8414,45.7643,44.0000,0.5153,200.0000,0.8179,39.2711,,,,,,
45.00,0.5521,200.0000,0.8355,46.1879,45.0000,0.5375,200.0000,0.8123,39.7654,,,,,,
46.00,0.5738,200.0000,0.8297,46.5506,46.0000,0.5596,200.0000,0.8069,40.2327,,,,,,
47.00,0.5956,200.0000,0.8241,46.9066,47.0000,0.5817,200.0000,0.8017,40.6850,,,,,,
48.00,0.6172,200.0000,0.8187,47.2367,48.0000,0.6037,200.0000,0.7967,41.1199,,,,,,
49.00,0.6386,200.0000,0.8134,47.5211,49.0000,0.6255,200.0000,0.7918,41.5129,,,,,,
50.00,0.6600,200.0000,0.8084,47.8296,50.0000,0.6472,200.0000,0.7871,41.8966,,,,,,
51.00,0.6811,200.0000,0.8034,48.0683,51.0000,0.6687,200.0000,0.7826,42.2686,,,,,,
52.00,0.7020,200.0000,0.7987,48.3248,52.0000,0.6901,200.0000,0.7783,42.6387,,,,,,
53.00,0.7228,200.0000,0.7941,48.5586,53.0000,0.7112,200.0000,0.7741,42.9753,,,,,,
54.00,0.7433,200.0000,0.7896,48.7593,54.0000,0.7321,200.0000,0.7700,43.2876,,,,,,
55.00,0.7635,200.0000,0.7853,48.9562,55.0000,0.7527,200.0000,0.7661,43.5954,,,,,,
56.00,0.7835,200.0000,0.7811,49.1330,56.0000,0.7730,200.0000,0.7623,43.8788,,,,,,
