Frequency,kH,RR(mm/h),aH,A(dB/km),Frequency,kV,RR(mm/h),aV,A(db/km),,INPUT,,,,OUTPUT
66.00,0.9670,10.0000,0.7458,5.3855,66.0000,0.9598,10.0000,0.7313,5.1699,,,,,,
67.00,0.9836,10.0000,0.7428,5.4402,67.0000,0.9767,10.0000,0.7287,5.2295,,,,,,
68.00,0.9999,10.0000,0.7400,5.4949,68.0000,0.9932,10.0000,0.7262,5.2873,,,,,,
69.00,1.0159,10.0000,0.7372,5.5469,69.0000,1.0094,10.0000,0.7238,5.3440,,,,,,
70.00,1.0315,10.0000,0.7345,5.5972,70.0000,1.0253,10.0000,0.7215,5.3995,,,,,,
71.00,1.0468,10.0000,0.7318,5.6450,71.0000,1.0409,10.0000,0.7193,5.4539,,,,,,
72.00,1.0618,10.0000,0.7293,5.6930,72.0000,1.0561,10.0000,0.7171,5.5056,,,,,,
73.00,1.0764,10.0000,0.7268,5.7382,73.0000,1.0711,10.0000,0.7150,5.5569,,,,,,
74.00,1.0908,10.0000,0.7244,5.7829,74.0000,1.0857,10.0000,0.7130,5.6067,,,,,,
75.00,1.1048,10.0000,0.7221,5.8262,75.0000,1.1000,10.0000,0.7110,5.6545,,,,,,
76.00,1.1185,10.0000,0.7199,5.8686,76.0000,1.1139,10.0000,0.7091,5.7009,,,,,,
77.00,1.1320,10.0000,0.7177,5.9094,77.0000,1.1276,10.0000,0.7073,5.7472,,,,,,
78.00,1.1451,10.0000,0.7156,5.9490,78.0000,1.1410,10.0000,0.7055,5.7914,,,,,,
79.00,1.1579,10.0000,0.7135,5.9865,79.0000,1.1541,10.0000,0.7038,5.8350,,,,,,
80.00,1.1704,10.0000,0.7115,6.0233,80.0000,1.1668,10.0000,0.7021,5.8762,,,,,,
81.00,1.1827,10.0000,0.7096,6.0600,81.0000,1.1793,10.0000,0.7004,5.9159,,,,,,
82.00,1.1946,10.0000,0.7077,6.0943,82.0000,1.1915,10.0000,0.6988,5.9552,,,,,,
83.00,1.2063,10.0000,0.7058,6.1271,83.0000,1.2034,10.0000,0.6973,5.9939,,,,,,
84.00,1.2177,10.0000,0.7040,6.1594,84.0000,1.2151,10.0000,0.6958,6.0313,,,,,,
85.00,1.2289,10.0000,0.7023,6.1918,85.0000,1.2265,10.0000,0.6943,6.0669,,,,,,
86.00,1.2398,10.0000,0.7006,6.2223,86.0000,1.2376,10.0000,0.6929,6.1021,,,,,,
87.00,1.2504,10.0000,0.6990,6.2524,87.0000,1.2484,10.0000,0.6915,6.1356,,,,,,
88.00,1.2607,10.0000,0.6974,6.2808,88.0000,1.2590,10.0000,0.6902,6.1692,,,,,,
89.00,1.2708,10.0000,0.6959,6.3092,89.0000,1.2694,10.0000,0.6889,6.2015,,,,,,
90.00,1.2807,10.0000,0.6944,6.3365,90.0000,1.2795,10.0000,0.6876,6.2322,,,,,,
91.00,1.2903,10.0000,0.6929,6.3620,91.0000,1.2893,10.0000,0.6864,6.2626,,,,,,
92.00,1.2997,10.0000,0.6915,6.3877,92.0000,1.2989,10.0000,0.6852,6.2918,,,,,,
93.00,1.3089,10.0000,0.6901,6.4122,93.0000,1.3083,10.0000,0.6840,6.3199,,,,,,
94.00,1.3179,10.0000,0.6888,6.4370,94.0000,1.3175,10.0000,0.6828,6.3467,,,,,,
95.00,1.3266,10.0000,0.6875,6.4601,95.0000,1.3265,10.0000,0.6817,6.3739,,,,,,
96.00,1.3351,10.0000,0.6862,6.4821,96.0000,1.3352,10.0000,0.6806,6.3995,,,,,,
97.00,1.3434,10.0000,0.6850,6.5044,97.0000,1.3437,10.0000,0.6796,6.4254,,,,,,
98.00,1.3515,10.0000,0.6838,6.5255,98.0000,1.3520,10.0000,0.6785,6.4488,,,,,,
99.00,1.3594,10.0000,0.6826,6.5456,99.0000,1.3601,10.0000,0.6775,6.4725,,,,,,
100.00,1.3671,10.0000,0.6815,6.5660,100.0000,1.3680,10.0000,0.6765,6.4951,,,,,,
10.00,0.0122,30.0000,1.2571,0.8753,10.0000,0.0113,30.0000,1.2156,0.7052,,,,,,
11.00,0.0177,30.0000,1.2140,1.1008,11.0000,0.0173,30.0000,1.1617,0.9001,,,,,,
12.00,0.0239,30.0000,1.1825,1.3316,12.0000,0.0246,30.0000,1.1216,1.1138,,,,,,
13.00,0.0304,30.0000,1.1586,1.5646,13.0000,0.0327,30.0000,1.0901,1.3311,,,,,,
14.00,0.0374,30.0000,1.1396,1.8029,14.0000,0.0413,30.0000,1.0646,1.5420,,,,,,
15.00,0.0448,30.0000,1.1233,2.0447,15.0000,0.0501,30.0000,1.0440,1.7449,,,,,,
16.00,0.0528,30.0000,1.1086,2.2926,16.0000,0.0590,30.0000,1.0273,1.9419,,,,,,
17.00,0.0615,30.0000,1.0949,2.5462,17.0000,0.0680,30.0000,1.0137,2.1364,,,,,,
18.00,0.0708,30.0000,1.0818,2.8045,18.0000,0.0771,30.0000,1.0025,2.3321,,,,,,
19.00,0.0808,30.0000,1.0691,3.0677,19.0000,0.0864,30.0000,0.9930,2.5316,,,,,,
20.00,0.0916,30.0000,1.0568,3.3351,20.0000,0.0961,30.0000,0.9847,2.7371,,,,,,
21.00,0.1032,30.0000,1.0447,3.6044,21.0000,0.1063,30.0000,0.9771,2.9500,,,,,,
22.00,0.1155,30.0000,1.0329,3.8753,22.0000,0.1170,30.0000,0.9700,3.1695,,,,,,
23.00,0.1286,30.0000,1.0214,4.1493,23.0000,0.1284,30.0000,0.9630,3.3965,,,,,,
24.00,0.1425,30.0000,1.0101,4.4244,24.0000,0.1404,30.0000,0.9561,3.6278,,,,,,
25.00,0.1571,30.0000,0.9991,4.6986,25.0000,0.1533,30.0000,0.9491,3.8679,,,,,,
26.00,0.1724,30.0000,0.9884,4.9719,26.0000,0.1669,30.0000,0.9421,4.1120,,,,,,
27.00,0.1884,30.0000,0.9780,5.2445,27.0000,0.1813,30.0000,0.9349,4.3587,,,,,,
28.00,0.2051,30.0000,0.9679,5.5166,28.0000,0.1964,30.0000,0.9277,4.6075,,,,,,
29.00,0.2224,30.0000,0.9580,5.7838,29.0000,0.2124,30.0000,0.9203,4.8590,,,,,,
30.00,0.2403,30.0000,0.9485,6.0507,30.0000,0.2291,30.0000,0.9129,5.1108,,,,,,
31.00,0.2588,30.0000,0.9392,6.3136,31.0000,0.2465,30.0000,0.9055,5.3623,,,,,,
32.00,0.2778,30.0000,0.9302,6.5728,32.0000,0.2646,30.0000,0.8981,5.6130,,,,,,
33.00,0.2972,30.0000,0.9214,6.8245,33.0000,0.2833,30.0000,0.8907,5.8603,,,,,,
34.00,0.3171,30.0000,0.9129,7.0739,34.0000,0.3026,30.0000,0.8834,6.1060,,,,,,
35.00,0.3374,30.0000,0.9047,7.3198,35.0000,0.3224,30.0000,0.8761,6.3460,,,,,,
36.00,0.3580,30.0000,0.8967,7.5582,36.0000,0.3427,30.0000,0.8690,6.5846,,,,,,
37.00,0.3789,30.0000,0.8890,7.7927,37.0000,0.3633,30.0000,0.8621,6.8185,,,,,,
38.00,0.4001,30.0000,0.8816,8.0241,38.0000,0.3844,30.0000,0.8552,7.0472,,,,,,
39.00,0.4215,30.0000,0.8743,8.2460,39.0000,0.4058,30.0000,0.8486,7.2744,,,,,,
40.00,0.4431,30.0000,0.8673,8.4647,40.0000,0.4274,30.0000,0.8421,7.4941,,,,,,
41.00,0.4647,30.0000,0.8605,8.6743,41.0000,0.4492,30.0000,0.8357,7.7067,,,,,,
42.00,0.4865,30.0000,0.8539,8.8797,42.0000,0.4712,30.0000,0.8296,7.9182,,,,,,
43.00,0.5084,30.0000,0.8476,9.0827,43.0000,0.4932,30.0000,0.8236,8.1205,,,,,,
44.00,0.5302,30.0000,0.8414,9.2745,44.0000,0.5153,30.0000,0.8179,8.3214,,,,,,
45.00,0.5521,30.0000,0.8355,9.4657,45.0000,0.5375,30.0000,0.8123,8.5162,,,,,,
46.00,0.5738,30.0000,0.8297,9.6456,46.0000,0.5596,30.0000,0.8069,8.7050,,,,,,
47.00,0.5956,30.0000,0.8241,9.8231,47.0000,0.5817,30.0000,0.8017,8.8901,,,,,,
48.00,0.6172,30.0000,0.8187,9.9941,48.0000,0.6037,30.0000,0.7967,9.0708,,,,,,
49.00,0.6386,30.0000,0.8134,10.1559,49.0000,0.6255,30.0000,0.7918,9.2430,,,,,,
50.00,0.6600,30.0000,0.8084,10.3193,50.0000,0.6472,30.0000,0.7871,9.4120,,,,,,
51.00,0.6811,30.0000,0.8034,10.4696,51.0000,0.6687,30.0000,0.7826,9.5769,,,,,,
52.00,0.7020,30.0000,0.7987,10.6197,52.0000,0.6901,30.0000,0.7783,9.7399,,,,,,
53.00,0.7228,30.0000,0.7941,10.7647,53.0000,0.7112,30.0000,0.7741,9.8954,,,,,,
54.00,0.7433,30.0000,0.7896,10.9018,54.0000,0.7321,30.0000,0.7700,10.0451,,,,,,
55.00,0.7635,30.0000,0.7853,11.0355,55.0000,0.7527,30.0000,0.7661,10.1917,,,,,,
56.00,0.7835,30.0000,0.7811,11.1640,56.0000,0.7730,30.0000,0.7623,10.3321,,,,,,
57.00,0.8032,30.0000,0.7771,11.2900,57.0000,0.7931,30.0000,0.7587,10.4718,,,,,,
58.00,0.8226,30.0000,0.7731,11.4065,58.0000,0.8129,30.0000,0.7552,10.6062,,,,,,
59.00,0.8418,30.0000,0.7693,11.5228,59.0000,0.8324,30.0000,0.7518,10.7357,,,,,,
60.00,0.8606,30.0000,0.7656,11.6328,60.0000,0.8515,30.0000,0.7486,10.8632,,,,,,
61.00,0.8791,30.0000,0.7621,11.7423,61.0000,0.8704,30.0000,0.7454,10.9841,,,,,,
